ticker,name,sector
EBAY,eBay Inc.,information_tech
EA,Electronic Arts,information_tech
FFIV,F5 Networks,information_tech
FB,"Facebook, Inc.",information_tech
FIS,Fidelity National Information Services,information_tech
FISV,Fiserv Inc,information_tech
FLIR,FLIR Systems,information_tech
IT,Gartner Inc,information_tech
GPN,Global Payments Inc.,information_tech
HRS,Harris Corporation,information_tech
HPE,Hewlett Packard Enterprise,information_tech
HPQ,HP Inc.,information_tech
INTC,Intel Corp.,information_tech
IBM,International Business Machines,information_tech
INTU,Intuit Inc.,information_tech
IPGP,IPG Photonics Corp.,information_tech
JNPR,Juniper Networks,information_tech
KLAC,KLA-Tencor Corp.,information_tech
LRCX,Lam Research,information_tech
MA,Mastercard Inc.,information_tech
MCHP,Microchip Technology,information_tech
MU,Micron Technology,information_tech
MSFT,Microsoft Corp.,information_tech
MSI,Motorola Solutions Inc.,information_tech
NTAP,NetApp,information_tech
NFLX,Netflix Inc.,information_tech
NVDA,Nvidia Corporation,information_tech
ORCL,Oracle Corp.,information_tech
PAYX,Paychex Inc.,information_tech
PYPL,PayPal,information_tech
QRVO,Qorvo,information_tech
QCOM,QUALCOMM Inc.,information_tech
RHT,Red Hat Inc.,information_tech
CRM,Salesforce.com,information_tech
STX,Seagate Technology,information_tech
SWKS,Skyworks Solutions,information_tech
SYMC,Symantec Corp.,information_tech
SNPS,Synopsys Inc.,information_tech
TTWO,Take-Two Interactive,information_tech
TEL,TE Connectivity Ltd.,information_tech
TXN,Texas Instruments,information_tech
TSS,Total System Services,information_tech
VRSN,Verisign Inc.,information_tech
V,Visa Inc.,information_tech
WDC,Western Digital,information_tech
WU,Western Union Co,information_tech
XRX,Xerox Corp.,information_tech
XLNX,Xilinx Inc,information_tech
APD,Air Products & Chemicals Inc,materials
ALB,Albemarle Corp,materials
AVY,Avery Dennison Corp,materials
BLL,Ball Corp,materials
CF,CF Industries Holdings Inc,materials
DWDP,DowDuPont,materials
EMN,Eastman Chemical,materials
ECL,Ecolab Inc.,materials
FMC,FMC Corporation,materials
FCX,Freeport-McMoRan Inc.,materials
IP,International Paper,materials
IFF,Intl Flavors & Fragrances,materials
LYB,LyondellBasell,materials
MLM,Martin Marietta Materials,materials
MON,Monsanto Co.,materials
NEM,Newmont Mining Corporation,materials
NUE,Nucor Corp.,materials
PKG,Packaging Corporation of America,materials
PPG,PPG Industries,materials
PX,Praxair Inc.,materials
SEE,Sealed Air,materials
SHW,Sherwin-Williams,materials
MOS,The Mosaic Company,materials
VMC,Vulcan Materials,materials
WRK,WestRock Company,materials
ARE,Alexandria Real Estate Equities Inc,real_estate
AMT,American Tower Corp A,real_estate
AIV,Apartment Investment & Management,real_estate
AVB,"AvalonBay Communities, Inc.",real_estate
BXP,Boston Properties,real_estate
CBRE,CBRE Group,real_estate
CCI,Crown Castle International Corp.,real_estate
DLR,Digital Realty Trust Inc,real_estate
DRE,Duke Realty Corp,real_estate
EQIX,Equinix,real_estate
EQR,Equity Residential,real_estate
ESS,"Essex Property Trust, Inc.",real_estate
EXR,Extra Space Storage,real_estate
FRT,Federal Realty Investment Trust,real_estate
GGP,General Growth Properties Inc.,real_estate
HCP,HCP Inc.,real_estate
HST,Host Hotels & Resorts,real_estate
IRM,Iron Mountain Incorporated,real_estate
KIM,Kimco Realty,real_estate
MAC,Macerich,real_estate
MAA,Mid-America Apartments,real_estate
PLD,Prologis,real_estate
PSA,Public Storage,real_estate
O,Realty Income Corporation,real_estate
REG,Regency Centers Corporation,real_estate
SBAC,SBA Communications,real_estate
SPG,Simon Property Group Inc,real_estate
SLG,SL Green Realty,real_estate
UDR,UDR Inc,real_estate
VTR,Ventas Inc,real_estate
VNO,Vornado Realty Trust,real_estate
WELL,Welltower Inc.,real_estate
WY,Weyerhaeuser Corp.,real_estate
T,AT&T Inc.,telecom
CTL,CenturyLink Inc,telecom
VZ,Verizon Communications,telecom
AES,AES Corp,utilities
LNT,Alliant Energy Corp,utilities
AEE,Ameren Corp,utilities
AEP,American Electric Power,utilities
AWK,American Water Works Company Inc,utilities
CNP,CenterPoint Energy,utilities
CMS,CMS Energy,utilities
ED,Consolidated Edison,utilities
D,Dominion Energy,utilities
DTE,DTE Energy Co.,utilities
DUK,Duke Energy,utilities
EIX,Edison Int'l,utilities
ETR,Entergy Corp.,utilities
ES,Eversource Energy,utilities
EXC,Exelon Corp.,utilities
FE,FirstEnergy Corp,utilities
NEE,NextEra Energy,utilities
NI,NiSource Inc.,utilities
NRG,NRG Energy,utilities
PCG,PG&E Corp.,utilities
PNW,Pinnacle West Capital,utilities
PPL,PPL Corp.,utilities
PEG,Public Serv. Enterprise Inc.,utilities
SCG,SCANA Corp,utilities
SRE,Sempra Energy,utilities
SO,Southern Co.,utilities
WEC,Wec Energy Group Inc,utilities
XEL,Xcel Energy Inc,utilities
